保养ID,车型,行驶里程(km),保养项目,保养时间,上次保养里程(km)
S9009,长城哈弗H6,81346,空气滤芯+燃油滤芯更换,2025-12-18 08:57,76346
S9010,奔驰C级,84570,大保养(机油+三滤+变速箱油),2025-07-20 08:40,74570
S9011,丰田凯美瑞,41831,刹车油+冷却液更换,2025-04-19 14:16,31831
S9012,大众帕萨特,34209,机油+机滤+空气滤芯更换,2025-09-22 12:00,29209
S9013,本田CR-V,75690,变速箱油+刹车油更换,2024-10-15 08:42,65690
S9014,比亚迪宋PLUS,25563,全车检查+空调滤芯更换,2025-03-12 09:12,20563
S9015,宝马5系,138384,大保养(机油+三滤+正时皮带),2025-07-19 10:51,128384
S9016,奥迪Q5L,35462,机油+机滤+火花塞更换,2025-02-21 16:10,30462
S9017,福特锐界,68879,刹车油+刹车片+轮胎更换,2024-08-04 14:58,58879
S9018,吉利博越,93930,机油+机滤+燃油滤芯更换,2024-06-05 11:52,88930
S9019,长城魏派VV7,110463,变速箱油+空调滤芯更换,2025-10-03 09:21,100463
S9020,奔驰E级,148917,大保养(机油+三滤+刹车油),2025-02-22 15:39,138917
S9021,丰田卡罗拉,64538,机油+机滤更换,2024-08-13 15:31,59538
S9022,大众朗逸,120053,空调滤芯+空气滤芯更换,2024-12-20 09:34,110053
S9023,本田思域,114670,变速箱油更换,2025-07-27 08:02,104670
S9024,比亚迪汉,92215,全车检查+轮胎换位,2024-02-18 17:55,82215
S9025,宝马3系,122290,大保养(机油+三滤+刹车油),2025-07-14 17:54,112290
S9026,福特蒙迪欧,128059,刹车油+刹车片更换,2025-09-25 08:34,118059
S9027,吉利星越L,54120,机油+机滤+空调滤芯更换,2025-04-20 13:13,49120
S9028,奥迪A4L,110741,变速箱油+火花塞更换,2024-07-22 15:41,100741
S9029,长城哈弗H6,108406,空气滤芯+燃油滤芯更换,2024-06-26 13:47,103406
S9030,奔驰C级,67290,大保养(机油+三滤+变速箱油),2024-03-29 09:48,57290
S9031,丰田凯美瑞,122943,刹车油+冷却液更换,2024-03-01 08:02,112943
S9032,大众帕萨特,34843,机油+机滤+空气滤芯更换,2024-07-29 09:22,29843
S9033,本田CR-V,33876,变速箱油+刹车油更换,2024-02-25 16:54,23876
S9034,比亚迪宋PLUS,115490,全车检查+空调滤芯更换,2024-08-15 17:03,110490
S9035,宝马5系,98906,大保养(机油+三滤+正时皮带),2025-06-10 11:10,88906
S9036,奥迪Q5L,40039,机油+机滤+火花塞更换,2025-07-30 14:21,35039
S9037,福特锐界,31830,刹车油+刹车片+轮胎更换,2025-03-17 11:58,21830
S9038,吉利博越,55571,机油+机滤+燃油滤芯更换,2025-09-19 14:20,50571
S9039,长城魏派VV7,48085,变速箱油+空调滤芯更换,2024-05-16 11:03,38085
S9040,奔驰E级,85320,大保养(机油+三滤+刹车油),2025-08-31 17:56,75320
S9041,丰田卡罗拉,51371,机油+机滤更换,2025-03-22 09:46,46371
S9042,大众朗逸,148189,空调滤芯+空气滤芯更换,2024-12-11 08:22,138189
S9043,本田思域,130020,变速箱油更换,2025-08-30 09:04,120020
S9044,比亚迪汉,74390,全车检查+轮胎换位,2025-05-31 14:02,64390
S9045,宝马3系,117227,大保养(机油+三滤+刹车油),2024-05-16 15:41,107227
S9046,福特蒙迪欧,75020,刹车油+刹车片更换,2025-02-17 16:19,65020
S9047,吉利星越L,119981,机油+机滤+空调滤芯更换,2024-06-11 16:20,114981
S9048,奥迪A4L,40394,变速箱油+火花塞更换,2024-10-18 16:39,30394
S9049,长城哈弗H6,51213,空气滤芯+燃油滤芯更换,2025-12-18 15:10,46213
S9050,奔驰C级,117607,大保养(机油+三滤+变速箱油),2025-07-11 10:50,107607
S9051,丰田凯美瑞,131479,刹车油+冷却液更换,2025-01-24 12:32,121479
S9052,大众帕萨特,42841,机油+机滤+空气滤芯更换,2025-06-11 10:40,37841
S9053,本田CR-V,135995,变速箱油+刹车油更换,2024-03-14 09:59,125995
S9054,比亚迪宋PLUS,23194,全车检查+空调滤芯更换,2025-04-29 17:00,18194
S9055,宝马5系,42578,大保养(机油+三滤+正时皮带),2024-09-17 15:00,32578
S9056,奥迪Q5L,64789,机油+机滤+火花塞更换,2024-09-18 09:33,59789
S9057,福特锐界,29845,刹车油+刹车片+轮胎更换,2024-02-11 11:53,19845
S9058,吉利博越,117201,机油+机滤+燃油滤芯更换,2025-12-16 09:15,112201
S9059,长城魏派VV7,117370,变速箱油+空调滤芯更换,2024-02-13 16:31,107370
S9060,奔驰E级,149867,大保养(机油+三滤+刹车油),2024-04-08 09:22,139867
S9061,丰田卡罗拉,52231,机油+机滤更换,2024-08-30 13:01,47231
S9062,大众朗逸,138663,空调滤芯+空气滤芯更换,2025-04-17 11:50,128663
S9063,本田思域,39706,变速箱油更换,2025-08-03 12:46,29706
S9064,比亚迪汉,20328,全车检查+轮胎换位,2024-03-21 14:33,10328
S9065,宝马3系,110019,大保养(机油+三滤+刹车油),2025-10-01 11:18,100019
S9066,福特蒙迪欧,28668,刹车油+刹车片更换,2024-11-12 15:03,18668
S9067,吉利星越L,128895,机油+机滤+空调滤芯更换,2024-02-17 17:08,123895
S9068,奥迪A4L,103814,变速箱油+火花塞更换,2024-02-19 13:08,93814
S9069,长城哈弗H6,53785,空气滤芯+燃油滤芯更换,2024-10-06 13:37,48785
S9070,奔驰C级,83596,大保养(机油+三滤+变速箱油),2024-09-15 14:54,73596
S9071,丰田凯美瑞,95879,刹车油+冷却液更换,2025-03-06 10:45,85879
S9072,大众帕萨特,125340,机油+机滤+空气滤芯更换,2024-07-22 10:04,120340
S9073,本田CR-V,136663,变速箱油+刹车油更换,2024-09-18 13:26,126663
S9074,比亚迪宋PLUS,91954,全车检查+空调滤芯更换,2025-01-11 16:27,86954
S9075,宝马5系,21349,大保养(机油+三滤+正时皮带),2024-07-11 17:28,11349
S9076,奥迪Q5L,144591,机油+机滤+火花塞更换,2024-10-07 13:38,139591
S9077,福特锐界,71849,刹车油+刹车片+轮胎更换,2024-06-13 12:03,61849
S9078,吉利博越,135971,机油+机滤+燃油滤芯更换,2024-04-27 17:34,130971
S9079,长城魏派VV7,119154,变速箱油+空调滤芯更换,2024-02-10 09:24,109154
S9080,奔驰E级,117512,大保养(机油+三滤+刹车油),2025-11-14 14:45,107512
S9081,丰田卡罗拉,51063,机油+机滤更换,2025-07-02 13:31,46063
S9082,大众朗逸,126457,空调滤芯+空气滤芯更换,2024-08-14 14:19,116457
S9083,本田思域,34209,变速箱油更换,2024-10-24 17:00,24209
S9084,比亚迪汉,25784,全车检查+轮胎换位,2024-12-14 16:58,15784
S9085,宝马3系,81041,大保养(机油+三滤+刹车油),2024-11-05 10:55,71041
S9086,福特蒙迪欧,42258,刹车油+刹车片更换,2024-11-22 15:05,32258
S9087,吉利星越L,76377,机油+机滤+空调滤芯更换,2024-08-15 12:11,71377
S9088,奥迪A4L,135087,变速箱油+火花塞更换,2025-08-27 11:35,125087
S9089,长城哈弗H6,117973,空气滤芯+燃油滤芯更换,2025-05-01 17:28,112973
S9090,奔驰C级,99038,大保养(机油+三滤+变速箱油),2025-03-10 08:16,89038
S9091,丰田凯美瑞,22197,刹车油+冷却液更换,2024-06-22 10:15,12197
S9092,大众帕萨特,31488,机油+机滤+空气滤芯更换,2025-10-30 11:34,26488
S9093,本田CR-V,109832,变速箱油+刹车油更换,2025-03-20 08:01,99832
S9094,比亚迪宋PLUS,111830,全车检查+空调滤芯更换,2025-01-19 14:33,106830
S9095,宝马5系,50766,大保养(机油+三滤+正时皮带),2025-12-05 15:58,40766
S9096,奥迪Q5L,118110,机油+机滤+火花塞更换,2024-01-14 13:22,113110
S9097,福特锐界,85639,刹车油+刹车片+轮胎更换,2024-06-21 12:45,75639
S9098,吉利博越,90693,机油+机滤+燃油滤芯更换,2025-02-12 17:02,85693
S9099,长城魏派VV7,88241,变速箱油+空调滤芯更换,2025-10-25 13:44,78241
S9100,奔驰E级,75338,大保养(机油+三滤+刹车油),2025-09-20 09:48,65338
S9101,丰田卡罗拉,39478,机油+机滤更换,2025-07-09 17:38,34478
S9102,大众朗逸,42392,空调滤芯+空气滤芯更换,2025-02-23 08:42,32392
S9103,本田思域,132674,变速箱油更换,2024-01-25 10:48,122674
S9104,比亚迪汉,61363,全车检查+轮胎换位,2024-03-02 16:05,51363
S9105,宝马3系,46585,大保养(机油+三滤+刹车油),2025-01-13 15:54,36585
S9106,福特蒙迪欧,74987,刹车油+刹车片更换,2024-08-25 12:45,64987
S9107,吉利星越L,130939,机油+机滤+空调滤芯更换,2024-06-28 14:20,125939
S9108,奥迪A4L,21023,变速箱油+火花塞更换,2024-11-20 08:55,11023
S9109,长城哈弗H6,71413,空气滤芯+燃油滤芯更换,2025-10-25 16:29,66413
S9110,奔驰C级,77634,大保养(机油+三滤+变速箱油),2024-03-22 12:11,67634
S9111,丰田凯美瑞,146693,刹车油+冷却液更换,2024-03-04 10:15,136693
S9112,大众帕萨特,122285,机油+机滤+空气滤芯更换,2025-06-15 11:35,117285
S9113,本田CR-V,131409,变速箱油+刹车油更换,2024-01-19 12:28,121409
S9114,比亚迪宋PLUS,26329,全车检查+空调滤芯更换,2024-04-02 16:23,21329
S9115,宝马5系,132336,大保养(机油+三滤+正时皮带),2024-02-22 12:44,122336
S9116,奥迪Q5L,131227,机油+机滤+火花塞更换,2024-10-13 08:31,126227
S9117,福特锐界,62206,刹车油+刹车片+轮胎更换,2024-06-07 13:42,52206
S9118,吉利博越,148576,机油+机滤+燃油滤芯更换,2024-10-14 13:41,143576
S9119,长城魏派VV7,71478,变速箱油+空调滤芯更换,2024-06-27 08:58,61478
S9120,奔驰E级,85988,大保养(机油+三滤+刹车油),2025-04-29 11:19,75988
S9121,丰田卡罗拉,93941,机油+机滤更换,2025-03-25 09:34,88941
S9122,大众朗逸,128631,空调滤芯+空气滤芯更换,2025-08-30 11:40,118631
S9123,本田思域,73132,变速箱油更换,2025-08-31 09:31,63132
S9124,比亚迪汉,83099,全车检查+轮胎换位,2025-04-17 10:00,73099
S9125,宝马3系,69985,大保养(机油+三滤+刹车油),2025-12-29 08:54,59985
S9126,福特蒙迪欧,135696,刹车油+刹车片更换,2025-03-24 14:24,125696
S9127,吉利星越L,42474,机油+机滤+空调滤芯更换,2024-10-09 14:54,37474
S9128,奥迪A4L,69199,变速箱油+火花塞更换,2025-09-09 15:38,59199
S9129,长城哈弗H6,91558,空气滤芯+燃油滤芯更换,2024-07-14 16:49,86558
S9130,奔驰C级,83798,大保养(机油+三滤+变速箱油),2025-07-31 15:43,73798
S9131,丰田凯美瑞,123036,刹车油+冷却液更换,2025-01-10 16:34,113036
S9132,大众帕萨特,149150,机油+机滤+空气滤芯更换,2025-11-18 14:29,144150
S9133,本田CR-V,41218,变速箱油+刹车油更换,2025-12-09 12:15,31218
S9134,比亚迪宋PLUS,61758,全车检查+空调滤芯更换,2025-12-29 10:14,56758
S9135,宝马5系,25325,大保养(机油+三滤+正时皮带),2025-10-29 10:08,15325
S9136,奥迪Q5L,137610,机油+机滤+火花塞更换,2025-02-21 09:18,132610
S9137,福特锐界,45866,刹车油+刹车片+轮胎更换,2024-05-29 10:24,35866
S9138,吉利博越,141287,机油+机滤+燃油滤芯更换,2024-04-19 12:08,136287
S9139,长城魏派VV7,47971,变速箱油+空调滤芯更换,2024-09-09 12:25,37971
S9140,奔驰E级,46563,大保养(机油+三滤+刹车油),2024-05-30 10:42,36563
S9141,丰田卡罗拉,45695,机油+机滤更换,2024-09-18 11:13,40695
S9142,大众朗逸,26098,空调滤芯+空气滤芯更换,2024-06-19 12:03,16098
S9143,本田思域,22118,变速箱油更换,2024-11-13 11:40,12118
S9144,比亚迪汉,28824,全车检查+轮胎换位,2024-02-21 12:52,18824
S9145,宝马3系,123900,大保养(机油+三滤+刹车油),2024-04-07 16:11,113900
S9146,福特蒙迪欧,146688,刹车油+刹车片更换,2025-03-27 17:47,136688
S9147,吉利星越L,51395,机油+机滤+空调滤芯更换,2025-03-30 10:38,46395
S9148,奥迪A4L,50872,变速箱油+火花塞更换,2025-03-30 17:07,40872
S9149,长城哈弗H6,143605,空气滤芯+燃油滤芯更换,2024-12-20 17:00,138605
S9150,奔驰C级,82598,大保养(机油+三滤+变速箱油),2025-10-22 16:16,72598
S9151,丰田凯美瑞,127491,刹车油+冷却液更换,2024-10-22 12:41,117491
S9152,大众帕萨特,87469,机油+机滤+空气滤芯更换,2024-07-23 10:12,82469
S9153,本田CR-V,42565,变速箱油+刹车油更换,2024-08-20 13:35,32565
S9154,比亚迪宋PLUS,141880,全车检查+空调滤芯更换,2024-06-18 08:44,136880
S9155,宝马5系,100523,大保养(机油+三滤+正时皮带),2025-05-22 15:22,90523
S9156,奥迪Q5L,89915,机油+机滤+火花塞更换,2025-10-14 10:26,84915
S9157,福特锐界,145533,刹车油+刹车片+轮胎更换,2024-08-21 10:12,135533
S9158,吉利博越,88014,机油+机滤+燃油滤芯更换,2024-10-25 14:09,83014
S9159,长城魏派VV7,81085,变速箱油+空调滤芯更换,2024-05-08 13:03,71085
S9160,奔驰E级,118423,大保养(机油+三滤+刹车油),2025-04-30 13:23,108423
S9161,丰田卡罗拉,98466,机油+机滤更换,2024-01-24 14:06,93466
S9162,大众朗逸,87135,空调滤芯+空气滤芯更换,2024-07-26 10:15,77135
S9163,本田思域,99110,变速箱油更换,2024-07-31 17:51,89110
S9164,比亚迪汉,147780,全车检查+轮胎换位,2024-07-25 08:04,137780
S9165,宝马3系,99386,大保养(机油+三滤+刹车油),2025-06-24 09:06,89386
S9166,福特蒙迪欧,136006,刹车油+刹车片更换,2024-10-02 15:06,126006
S9167,吉利星越L,65296,机油+机滤+空调滤芯更换,2025-01-28 14:24,60296
S9168,奥迪A4L,103081,变速箱油+火花塞更换,2025-12-11 12:34,93081
S9169,长城哈弗H6,134857,空气滤芯+燃油滤芯更换,2025-01-31 13:58,129857
S9170,奔驰C级,86359,大保养(机油+三滤+变速箱油),2024-12-17 17:57,76359
S9171,丰田凯美瑞,104835,刹车油+冷却液更换,2024-06-13 16:09,94835
S9172,大众帕萨特,122157,机油+机滤+空气滤芯更换,2024-09-12 12:52,117157
S9173,本田CR-V,63768,变速箱油+刹车油更换,2025-02-14 16:44,53768
S9174,比亚迪宋PLUS,115884,全车检查+空调滤芯更换,2024-02-15 08:33,110884
S9175,宝马5系,124439,大保养(机油+三滤+正时皮带),2024-05-03 17:47,114439
S9176,奥迪Q5L,60923,机油+机滤+火花塞更换,2025-03-20 15:42,55923
S9177,福特锐界,55599,刹车油+刹车片+轮胎更换,2024-04-10 10:32,45599
S9178,吉利博越,140067,机油+机滤+燃油滤芯更换,2025-10-31 16:00,135067
S9179,长城魏派VV7,46131,变速箱油+空调滤芯更换,2025-10-25 10:09,36131
S9180,奔驰E级,124172,大保养(机油+三滤+刹车油),2024-08-12 17:19,114172
S9181,丰田卡罗拉,89935,机油+机滤更换,2024-12-08 11:05,84935
S9182,大众朗逸,52702,空调滤芯+空气滤芯更换,2025-02-16 17:54,42702
S9183,本田思域,114085,变速箱油更换,2024-11-30 12:27,104085
S9184,比亚迪汉,53655,全车检查+轮胎换位,2025-05-06 09:06,43655
S9185,宝马3系,77368,大保养(机油+三滤+刹车油),2025-05-08 11:54,67368
S9186,福特蒙迪欧,34798,刹车油+刹车片更换,2024-09-20 17:15,24798
S9187,吉利星越L,27794,机油+机滤+空调滤芯更换,2025-08-01 14:03,22794
S9188,奥迪A4L,72576,变速箱油+火花塞更换,2024-07-29 16:25,62576
S9189,长城哈弗H6,116689,空气滤芯+燃油滤芯更换,2025-12-22 16:02,111689
S9190,奔驰C级,21968,大保养(机油+三滤+变速箱油),2024-05-15 15:21,11968
S9191,丰田凯美瑞,117377,刹车油+冷却液更换,2025-05-24 16:05,107377
S9192,大众帕萨特,91535,机油+机滤+空气滤芯更换,2024-01-01 16:47,86535
S9193,本田CR-V,116368,变速箱油+刹车油更换,2025-08-04 15:12,106368
S9194,比亚迪宋PLUS,133839,全车检查+空调滤芯更换,2025-03-17 11:44,128839
S9195,宝马5系,134222,大保养(机油+三滤+正时皮带),2025-07-25 08:28,124222
S9196,奥迪Q5L,44442,机油+机滤+火花塞更换,2025-01-13 12:14,39442
S9197,福特锐界,104177,刹车油+刹车片+轮胎更换,2024-09-23 11:52,94177
S9198,吉利博越,83697,机油+机滤+燃油滤芯更换,2025-03-04 16:18,78697
S9199,长城魏派VV7,138906,变速箱油+空调滤芯更换,2024-06-04 13:56,128906
S9200,奔驰E级,128265,大保养(机油+三滤+刹车油),2025-06-11 17:12,118265
S9201,丰田卡罗拉,81649,机油+机滤更换,2025-05-26 13:07,76649
S9202,大众朗逸,37362,空调滤芯+空气滤芯更换,2025-11-23 12:59,27362
S9203,本田思域,117141,变速箱油更换,2024-07-01 12:51,107141
S9204,比亚迪汉,100706,全车检查+轮胎换位,2025-07-19 10:00,90706
S9205,宝马3系,61680,大保养(机油+三滤+刹车油),2024-12-11 14:15,51680
S9206,福特蒙迪欧,28293,刹车油+刹车片更换,2024-03-07 15:04,18293
S9207,吉利星越L,33652,机油+机滤+空调滤芯更换,2024-08-07 16:49,28652
S9208,奥迪A4L,133456,变速箱油+火花塞更换,2024-02-07 08:17,123456
S9209,长城哈弗H6,67765,空气滤芯+燃油滤芯更换,2024-08-18 16:33,62765
S9210,奔驰C级,124817,大保养(机油+三滤+变速箱油),2025-11-29 08:06,114817
S9211,丰田凯美瑞,62236,刹车油+冷却液更换,2025-10-29 11:51,52236
S9212,大众帕萨特,23552,机油+机滤+空气滤芯更换,2024-07-05 15:28,18552
S9213,本田CR-V,110037,变速箱油+刹车油更换,2025-08-28 16:56,100037
S9214,比亚迪宋PLUS,57170,全车检查+空调滤芯更换,2024-12-06 09:10,52170
S9215,宝马5系,149558,大保养(机油+三滤+正时皮带),2025-02-01 17:35,139558
S9216,奥迪Q5L,131656,机油+机滤+火花塞更换,2024-08-26 11:57,126656
S9217,福特锐界,129032,刹车油+刹车片+轮胎更换,2025-09-30 12:48,119032
S9218,吉利博越,43251,机油+机滤+燃油滤芯更换,2024-04-30 13:52,38251
S9219,长城魏派VV7,95008,变速箱油+空调滤芯更换,2025-01-19 10:19,85008
S9220,奔驰E级,32604,大保养(机油+三滤+刹车油),2024-10-01 09:23,22604
S9221,丰田卡罗拉,49501,机油+机滤更换,2024-03-11 13:26,44501
S9222,大众朗逸,34426,空调滤芯+空气滤芯更换,2024-07-31 12:53,24426
S9223,本田思域,102533,变速箱油更换,2024-07-14 16:38,92533
S9224,比亚迪汉,133460,全车检查+轮胎换位,2024-12-26 10:04,123460
S9225,宝马3系,120760,大保养(机油+三滤+刹车油),2025-03-26 08:18,110760
S9226,福特蒙迪欧,36062,刹车油+刹车片更换,2024-04-01 13:23,26062
S9227,吉利星越L,54487,机油+机滤+空调滤芯更换,2025-04-09 15:39,49487
S9228,奥迪A4L,89458,变速箱油+火花塞更换,2025-05-07 08:43,79458
S9229,长城哈弗H6,117823,空气滤芯+燃油滤芯更换,2024-06-15 16:53,112823
S9230,奔驰C级,26086,大保养(机油+三滤+变速箱油),2025-09-16 13:44,16086
S9231,丰田凯美瑞,27622,刹车油+冷却液更换,2024-09-22 11:54,17622
S9232,大众帕萨特,91386,机油+机滤+空气滤芯更换,2024-10-05 08:21,86386
S9233,本田CR-V,144653,变速箱油+刹车油更换,2025-09-07 12:07,134653
S9234,比亚迪宋PLUS,106490,全车检查+空调滤芯更换,2024-09-12 14:07,101490
S9235,宝马5系,52332,大保养(机油+三滤+正时皮带),2024-02-27 12:53,42332
S9236,奥迪Q5L,119555,机油+机滤+火花塞更换,2024-04-09 17:27,114555
S9237,福特锐界,53939,刹车油+刹车片+轮胎更换,2024-10-02 12:48,43939
S9238,吉利博越,78563,机油+机滤+燃油滤芯更换,2024-11-12 10:48,73563
S9239,长城魏派VV7,129661,变速箱油+空调滤芯更换,2024-03-11 17:41,119661
S9240,奔驰E级,84737,大保养(机油+三滤+刹车油),2024-04-11 16:52,74737
S9241,丰田卡罗拉,83031,机油+机滤更换,2024-06-25 09:59,78031
S9242,大众朗逸,32235,空调滤芯+空气滤芯更换,2025-07-14 08:42,22235
S9243,本田思域,42116,变速箱油更换,2025-09-10 14:30,32116
S9244,比亚迪汉,45247,全车检查+轮胎换位,2024-06-20 16:20,35247
S9245,宝马3系,140847,大保养(机油+三滤+刹车油),2024-10-27 16:20,130847
S9246,福特蒙迪欧,113732,刹车油+刹车片更换,2024-12-19 13:10,103732
S9247,吉利星越L,128409,机油+机滤+空调滤芯更换,2024-02-06 08:33,123409
S9248,奥迪A4L,134164,变速箱油+火花塞更换,2025-11-29 13:04,124164
S9249,长城哈弗H6,86151,空气滤芯+燃油滤芯更换,2025-04-22 10:35,81151
S9250,奔驰C级,144903,大保养(机油+三滤+变速箱油),2024-10-12 11:14,134903
S9251,丰田凯美瑞,29353,刹车油+冷却液更换,2025-12-06 14:19,19353
S9252,大众帕萨特,144317,机油+机滤+空气滤芯更换,2025-08-22 17:27,139317
S9253,本田CR-V,117033,变速箱油+刹车油更换,2025-09-05 12:22,107033
S9254,比亚迪宋PLUS,54574,全车检查+空调滤芯更换,2025-12-15 09:07,49574
S9255,宝马5系,77312,大保养(机油+三滤+正时皮带),2024-03-26 10:19,67312
S9256,奥迪Q5L,105616,机油+机滤+火花塞更换,2025-02-14 14:32,100616
S9257,福特锐界,42243,刹车油+刹车片+轮胎更换,2025-12-01 14:05,32243
S9258,吉利博越,127083,机油+机滤+燃油滤芯更换,2025-01-16 14:32,122083
S9259,长城魏派VV7,48128,变速箱油+空调滤芯更换,2025-05-17 09:07,38128
S9260,奔驰E级,91794,大保养(机油+三滤+刹车油),2024-05-20 14:46,81794
S9261,丰田卡罗拉,99215,机油+机滤更换,2025-04-16 10:57,94215
S9262,大众朗逸,117013,空调滤芯+空气滤芯更换,2025-09-07 11:09,107013
S9263,本田思域,149577,变速箱油更换,2024-09-23 11:39,139577
S9264,比亚迪汉,55273,全车检查+轮胎换位,2025-07-31 13:35,45273
S9265,宝马3系,77033,大保养(机油+三滤+刹车油),2025-06-20 17:50,67033
S9266,福特蒙迪欧,134469,刹车油+刹车片更换,2025-01-03 14:37,124469
S9267,吉利星越L,45027,机油+机滤+空调滤芯更换,2025-07-08 10:38,40027
S9268,奥迪A4L,122073,变速箱油+火花塞更换,2025-04-18 13:40,112073
S9269,长城哈弗H6,131144,空气滤芯+燃油滤芯更换,2025-03-10 16:43,126144
S9270,奔驰C级,143466,大保养(机油+三滤+变速箱油),2024-05-11 16:10,133466
S9271,丰田凯美瑞,94250,刹车油+冷却液更换,2025-03-12 10:07,84250
S9272,大众帕萨特,53292,机油+机滤+空气滤芯更换,2024-04-22 17:45,48292
S9273,本田CR-V,22978,变速箱油+刹车油更换,2024-05-11 10:18,12978
S9274,比亚迪宋PLUS,38088,全车检查+空调滤芯更换,2024-12-26 16:15,33088
S9275,宝马5系,119003,大保养(机油+三滤+正时皮带),2024-10-28 10:55,109003
S9276,奥迪Q5L,120757,机油+机滤+火花塞更换,2025-12-06 14:30,115757
S9277,福特锐界,64719,刹车油+刹车片+轮胎更换,2025-05-28 15:25,54719
S9278,吉利博越,135509,机油+机滤+燃油滤芯更换,2025-07-11 16:51,130509
S9279,长城魏派VV7,95895,变速箱油+空调滤芯更换,2025-04-18 13:04,85895
S9280,奔驰E级,77653,大保养(机油+三滤+刹车油),2024-12-25 09:02,67653
S9281,丰田卡罗拉,29070,机油+机滤更换,2024-03-12 14:15,24070
S9282,大众朗逸,20738,空调滤芯+空气滤芯更换,2024-07-17 15:25,10738
S9283,本田思域,87407,变速箱油更换,2024-05-04 09:18,77407
S9284,比亚迪汉,110196,全车检查+轮胎换位,2025-03-05 10:34,100196
S9285,宝马3系,48584,大保养(机油+三滤+刹车油),2024-03-29 13:13,38584
S9286,福特蒙迪欧,115048,刹车油+刹车片更换,2025-03-03 16:44,105048
S9287,吉利星越L,25921,机油+机滤+空调滤芯更换,2025-06-05 14:41,20921
S9288,奥迪A4L,102881,变速箱油+火花塞更换,2024-06-19 14:34,92881
S9289,长城哈弗H6,146666,空气滤芯+燃油滤芯更换,2025-02-27 09:38,141666
S9290,奔驰C级,148749,大保养(机油+三滤+变速箱油),2024-01-08 15:19,138749
S9291,丰田凯美瑞,44395,刹车油+冷却液更换,2025-05-24 11:26,34395
S9292,大众帕萨特,49719,机油+机滤+空气滤芯更换,2024-10-31 17:54,44719
S9293,本田CR-V,53854,变速箱油+刹车油更换,2024-03-26 17:46,43854
S9294,比亚迪宋PLUS,35828,全车检查+空调滤芯更换,2025-02-02 14:20,30828
S9295,宝马5系,82678,大保养(机油+三滤+正时皮带),2025-03-13 08:46,72678
S9296,奥迪Q5L,94964,机油+机滤+火花塞更换,2025-12-02 12:19,89964
S9297,福特锐界,148810,刹车油+刹车片+轮胎更换,2025-01-23 15:22,138810
S9298,吉利博越,75393,机油+机滤+燃油滤芯更换,2024-01-16 11:50,70393
S9299,长城魏派VV7,83941,变速箱油+空调滤芯更换,2025-03-29 13:47,73941
S9300,奔驰E级,90641,大保养(机油+三滤+刹车油),2024-09-24 08:43,80641
S9301,丰田卡罗拉,45387,机油+机滤更换,2025-01-16 08:41,40387
S9302,大众朗逸,48129,空调滤芯+空气滤芯更换,2024-12-29 13:46,38129
S9303,本田思域,73879,变速箱油更换,2024-07-16 16:26,63879
S9304,比亚迪汉,43517,全车检查+轮胎换位,2024-12-30 10:54,33517
S9305,宝马3系,74302,大保养(机油+三滤+刹车油),2024-11-25 08:12,64302
S9306,福特蒙迪欧,136375,刹车油+刹车片更换,2025-07-29 12:43,126375
S9307,吉利星越L,121024,机油+机滤+空调滤芯更换,2025-09-07 13:20,116024
S9308,奥迪A4L,108069,变速箱油+火花塞更换,2024-02-13 14:29,98069
S9309,长城哈弗H6,143468,空气滤芯+燃油滤芯更换,2025-07-25 12:09,138468
S9310,奔驰C级,135329,大保养(机油+三滤+变速箱油),2025-04-17 17:27,125329
S9311,丰田凯美瑞,26806,刹车油+冷却液更换,2024-10-28 15:04,16806
S9312,大众帕萨特,53904,机油+机滤+空气滤芯更换,2025-03-22 15:16,48904
S9313,本田CR-V,139677,变速箱油+刹车油更换,2024-08-21 17:59,129677
S9314,比亚迪宋PLUS,138069,全车检查+空调滤芯更换,2025-05-13 08:27,133069
S9315,宝马5系,73700,大保养(机油+三滤+正时皮带),2025-04-30 16:09,63700
S9316,奥迪Q5L,48186,机油+机滤+火花塞更换,2025-10-23 08:25,43186
S9317,福特锐界,97756,刹车油+刹车片+轮胎更换,2024-04-01 13:26,87756
S9318,吉利博越,34581,机油+机滤+燃油滤芯更换,2024-07-09 17:25,29581
S9319,长城魏派VV7,144563,变速箱油+空调滤芯更换,2025-02-17 12:33,134563
S9320,奔驰E级,127515,大保养(机油+三滤+刹车油),2024-01-11 14:22,117515
S9321,丰田卡罗拉,73079,机油+机滤更换,2025-04-29 14:43,68079
S9322,大众朗逸,105465,空调滤芯+空气滤芯更换,2024-07-23 11:23,95465
S9323,本田思域,28360,变速箱油更换,2025-07-04 12:14,18360
S9324,比亚迪汉,105611,全车检查+轮胎换位,2024-02-01 10:25,95611
S9325,宝马3系,130145,大保养(机油+三滤+刹车油),2024-11-28 17:55,120145
S9326,福特蒙迪欧,124264,刹车油+刹车片更换,2024-03-21 17:30,114264
S9327,吉利星越L,75613,机油+机滤+空调滤芯更换,2024-01-03 15:52,70613
S9328,奥迪A4L,109480,变速箱油+火花塞更换,2024-12-03 15:02,99480
S9329,长城哈弗H6,27964,空气滤芯+燃油滤芯更换,2024-03-08 14:35,22964
S9330,奔驰C级,29839,大保养(机油+三滤+变速箱油),2025-03-24 13:06,19839
S9331,丰田凯美瑞,88618,刹车油+冷却液更换,2024-07-03 10:12,78618
